season,mechanism,alpha,sigma_scale,n_sims,n_finalists,top_judge_final,champion_mode,champion_mode_prob,champion_mode_prob_se,champion_entropy,tpi_season_avg,tpi_n,tpi_std,tpi_p05,tpi_p95,tpi_boot_p025,tpi_boot_p975,fan_vs_uniform_contrast,fan_vs_uniform_contrast_se,robust_fail_rate,robust_fail_rate_se,robust_fail_rate_fixed,robust_fail_rate_fixed_se,robust_fail_rate_random_bottom_k,robust_fail_rate_random_bottom_k_se,robust_fail_rate_add,robust_fail_rate_add_se,robust_fail_rate_redistribute,robust_fail_rate_redistribute_se,outlier_mult
1,percent,0.5,1.0,20,2,Kelly Monaco,John O'Hurley,0.5,0.11180339887498948,0.8556886672556694,0.6960000000000001,20,0.10683429810441018,0.5932222222222222,0.7999999999999999,0.6433888888888889,0.7282819444444446,0.55,0.11124297730643495,0.45,0.11124297730643495,,,,,,,,,2.0
1,percent,0.5,1.0,20,2,Kelly Monaco,John O'Hurley,0.5,0.11180339887498948,0.8556886672556694,0.6960000000000001,20,0.10683429810441018,0.5932222222222222,0.7999999999999999,0.6433888888888889,0.7282819444444446,0.55,0.11124297730643495,0.45,0.11124297730643495,,,,,,,,,5.0
1,percent,0.5,1.0,20,2,Kelly Monaco,John O'Hurley,0.5,0.11180339887498948,0.8556886672556694,0.6960000000000001,20,0.10683429810441018,0.5932222222222222,0.7999999999999999,0.6433888888888889,0.7282819444444446,0.55,0.11124297730643495,0.6,0.10954451150103323,,,,,,,,,10.0
1,rank,0.5,1.0,20,2,Kelly Monaco,Kelly Monaco,0.65,0.1066536450385077,0.6474466390346325,0.6663888888888889,20,0.10059076634663852,0.5944444444444444,0.7999999999999999,0.6252777777777778,0.7075000000000001,0.35,0.1066536450385077,0.45,0.11124297730643495,,,,,,,,,2.0
1,rank,0.5,1.0,20,2,Kelly Monaco,Kelly Monaco,0.65,0.1066536450385077,0.6474466390346325,0.6663888888888889,20,0.10059076634663852,0.5944444444444444,0.7999999999999999,0.6252777777777778,0.7075000000000001,0.35,0.1066536450385077,0.75,0.09682458365518543,,,,,,,,,5.0
1,rank,0.5,1.0,20,2,Kelly Monaco,Kelly Monaco,0.65,0.1066536450385077,0.6474466390346325,0.6663888888888889,20,0.10059076634663852,0.5944444444444444,0.7999999999999999,0.6252777777777778,0.7075000000000001,0.35,0.1066536450385077,0.75,0.09682458365518543,,,,,,,,,10.0
1,percent_judge_save,0.5,1.0,20,2,Kelly Monaco,Kelly Monaco,0.5,0.11180339887498948,0.6931471805599453,0.6972222222222223,20,0.1054477750754186,0.5944444444444444,0.7999999999999999,0.6558541666666667,0.7383333333333335,0.5,0.11180339887498948,0.4,0.10954451150103323,,,,,,,,,2.0
1,percent_judge_save,0.5,1.0,20,2,Kelly Monaco,Kelly Monaco,0.5,0.11180339887498948,0.6931471805599453,0.6972222222222223,20,0.1054477750754186,0.5944444444444444,0.7999999999999999,0.6558541666666667,0.7383333333333335,0.5,0.11180339887498948,0.5,0.11180339887498948,,,,,,,,,5.0
1,percent_judge_save,0.5,1.0,20,2,Kelly Monaco,Kelly Monaco,0.5,0.11180339887498948,0.6931471805599453,0.6972222222222223,20,0.1054477750754186,0.5944444444444444,0.7999999999999999,0.6558541666666667,0.7383333333333335,0.5,0.11180339887498948,0.4,0.10954451150103323,,,,,,,,,10.0
1,percent_sqrt,0.5,1.0,20,2,Kelly Monaco,John O'Hurley,0.55,0.11124297730643495,0.6881388137135884,0.7075000000000001,20,0.10491921147088604,0.5944444444444444,0.7999999999999999,0.6764097222222223,0.7486111111111112,0.55,0.11124297730643495,0.4,0.10954451150103323,,,,,,,,,2.0
